,bins,method,bin_counts
Ore,"[150.09691732 152.44972322 154.80252912 157.15533501 159.50814091
 161.86094681 164.21375271 166.5665586  168.9193645  171.2721704
 173.6249763  175.97778219 178.33058809 180.68339399 183.03619989
 185.38900578]",equal_width,"[15, 8201, 19556, 4366, 4858, 6553, 2259, 458, 1365, 1695, 4230, 4030, 1760, 821, 431]"
WaterMill,"[ 7.22171994  7.89291209  8.56410423  9.23529638  9.90648852 10.57768067
 11.24887281 11.92006496 12.5912571  13.26244925 13.93364139 14.60483354
 15.27602568 15.94721783 16.61840997 17.28960212]",equal_width,"[16, 7, 7, 112, 7625, 4230, 8377, 7858, 9414, 4934, 7000, 3924, 3325, 3377, 392]"
WaterZumpf,"[140.13742128 146.57862342 153.01982555 159.46102769 165.90222983
 172.34343196 178.7846341  185.22583624 191.66703837 198.10824051
 204.54944265 210.99064479 217.43184692 223.87304906 230.3142512
 236.75545333]",equal_width,"[54, 74, 166, 712, 938, 1562, 3463, 4568, 10033, 9997, 9390, 10178, 6328, 2927, 208]"
Power,"[1665.12338109 1695.74078375 1726.35818641 1756.97558907 1787.59299172
 1818.21039438 1848.82779704 1879.4451997  1910.06260236 1940.68000502
 1971.29740768 2001.91481034 2032.532213   2063.14961566 2093.76701831
 2124.38442097]",equal_width,"[514, 2065, 3739, 12533, 18217, 10167, 918, 4843, 6869, 491, 54, 47, 47, 47, 47]"
ZumpfLevel,"[1291.39547656 1319.31137108 1347.22726559 1375.14316011 1403.05905463
 1430.97494914 1458.89084366 1486.80673818 1514.72263269 1542.63852721
 1570.55442173 1598.47031624 1626.38621076 1654.30210528 1682.21799979
 1710.13389431]",equal_width,"[282, 389, 690, 659, 916, 570, 414, 53036, 642, 698, 517, 432, 460, 568, 325]"
PressureHC,"[0.19585059 0.20528561 0.21472062 0.22415563 0.23359065 0.24302566
 0.25246067 0.26189569 0.2713307  0.28076571 0.29020073 0.29963574
 0.30907075 0.31850577 0.32794078 0.33737579]",equal_width,"[4, 3, 9, 4, 7, 34, 151, 225, 454, 3791, 17140, 19899, 13397, 3673, 1807]"
DensityHC,"[1502.14377154 1522.00078301 1541.85779447 1561.71480593 1581.5718174
 1601.42882886 1621.28584032 1641.14285179 1660.99986325 1680.85687471
 1700.71388618 1720.57089764 1740.42790911 1760.28492057 1780.14193203
 1799.9989435 ]",equal_width,"[2, 2, 1, 3, 3, 4, 8, 21, 45, 359, 2946, 14941, 18068, 17405, 6790]"
FE,"[-9.99900000e+03 -9.33209467e+03 -8.66518933e+03 -7.99828400e+03
 -7.33137867e+03 -6.66447333e+03 -5.99756800e+03 -5.33066267e+03
 -4.66375733e+03 -3.99685200e+03 -3.32994667e+03 -2.66304133e+03
 -1.99613600e+03 -1.32923067e+03 -6.62325333e+02  4.58000000e+00]",equal_width,"[30, 4, 4, 4, 4, 4, 4, 4, 4, 15, 6, 6, 6, 6, 60497]"
PulpHC,"[341.77317956 351.5801011  361.38702263 371.19394417 381.00086571
 390.80778724 400.61470878 410.42163031 420.22855185 430.03547339
 439.84239492 449.64931646 459.456238   469.26315953 479.07008107
 488.87700261]",equal_width,"[19, 38, 120, 180, 380, 350, 694, 837, 7882, 26314, 13323, 6884, 2869, 559, 149]"
PumpRPM,"[607.54156924 617.41033426 627.27909927 637.14786428 647.0166293
 656.88539431 666.75415932 676.62292434 686.49168935 696.36045436
 706.22921938 716.09798439 725.9667494  735.83551442 745.70427943
 755.57304444]",equal_width,"[36, 36, 35, 39, 70, 123, 710, 921, 3719, 10941, 29028, 6048, 6585, 2084, 223]"
MotorAmp,"[170.01954884 172.67387737 175.3282059  177.98253442 180.63686295
 183.29119148 185.94552    188.59984853 191.25417706 193.90850558
 196.56283411 199.21716264 201.87149116 204.52581969 207.18014822
 209.83447674]",equal_width,"[35, 34, 170, 1075, 2813, 2500, 6765, 17568, 16474, 222, 1374, 5014, 5968, 566, 20]"
PSI80,"[47.22329147 48.05253377 48.88177606 49.71101836 50.54026066 51.36950296
 52.19874525 53.02798755 53.85722985 54.68647214 55.51571444 56.34495674
 57.17419903 58.00344133 58.83268363 59.66192593]",equal_width,"[87, 1889, 21921, 27621, 6740, 1968, 162, 76, 53, 44, 21, 13, 1, 1, 1]"
