,bins,method,bin_counts
Ore,"[150.49873515 155.31498384 159.24188017 161.81965556 164.11396217
 165.23176309 166.05455887 167.09663691 167.70376785 168.95059948
 170.06615606 170.59176751 171.26328286 171.80291126 172.14089378
 172.55867364 173.01672092 173.51047928 174.01192201 174.5220973
 175.01175343 175.50684743 175.99678166 176.47504792 176.96334158
 177.34036703 177.7931258  178.40246965 179.31561874 180.07657041
 180.80602322 181.5614659  182.01031031 182.45068406 182.92028452
 183.48659699 184.11280422 184.63615497 184.96926668 185.21910198
 186.21905778]",kmeans,"[11, 6, 39, 29, 13565, 16388, 135, 153, 472, 786, 836, 398, 382, 1188, 823, 724, 1019, 615, 743, 720, 774, 656, 713, 914, 1589, 581, 768, 174, 1612, 1207, 296, 572, 640, 506, 570, 381, 439, 1431, 1516, 968]"
WaterMill,"[ 5.07858234  5.76216976  6.65521497  7.80552136  8.99861765 10.37314216
 11.77997482 12.49039785 12.62843342 12.80866282 13.13638611 13.4208452
 13.52965759 13.66895618 13.91486227 14.14484766 14.2821997  14.42712896
 14.57529869 14.73499159 14.91548087 15.09916041 15.20198968 15.31335447
 15.48713682 15.62912293 15.73366224 15.81896821 15.90064647 15.97287459
 16.06995492 16.18658756 16.30235633 16.4328264  16.56435723 16.68132848
 16.78587357 16.88304013 17.0157607  17.245587   17.56051036]",kmeans,"[11, 19, 16, 11, 7, 5, 197, 222, 521, 282, 611, 1032, 642, 324, 159, 632, 596, 672, 535, 546, 307, 15600, 14466, 564, 662, 1611, 1410, 1600, 1220, 1250, 1038, 1226, 1116, 1268, 1652, 1294, 812, 571, 380, 252]"
WaterZumpf,"[140.00010349 142.54127496 144.92941596 147.22128436 149.47421828
 151.50430085 153.36741162 155.24404448 157.11319259 158.97894484
 160.85995431 162.763563   164.6938954  166.63613454 168.57469755
 170.5039023  172.45158285 174.4348542  176.44027931 178.43929797
 180.41319699 182.35623091 184.29923325 186.29615449 188.40260262
 191.83628144 196.68899438 201.56164674 205.6629378  208.7612382
 211.13270873 212.97744847 214.60159826 216.23366515 218.32863051
 220.87936614 223.75031043 228.12437733 234.4362225  240.54881011
 247.37276665]",kmeans,"[1111, 1036, 960, 903, 2092, 2077, 1991, 2001, 1935, 1972, 1935, 1957, 2004, 2002, 2023, 1897, 1783, 1705, 1616, 1596, 1506, 1499, 1536, 1634, 1655, 278, 485, 702, 614, 882, 3168, 2012, 1110, 841, 803, 244, 969, 267, 164, 374]"
Power,"[1621.14325889 1700.23187611 1773.45365634 1809.57030592 1831.69717062
 1841.62071703 1849.35891432 1855.24771081 1860.95152269 1866.56993541
 1871.82918033 1877.1512121  1882.6603299  1888.13890329 1893.30383863
 1897.69569442 1901.61532261 1905.48683118 1909.14229501 1912.63779503
 1916.0668481  1919.62071054 1923.28642562 1927.00128387 1929.69019424
 1931.31035334 1932.99295854 1934.75635763 1936.59227507 1938.4655705
 1941.32106186 1945.12667879 1949.04465783 1953.19143393 1957.71552358
 1962.64961252 1967.7545231  1973.65106598 1981.02099445 1990.30649127
 2004.48904011]",kmeans,"[2, 16, 13, 57, 119, 234, 258, 303, 363, 355, 493, 407, 389, 453, 712, 895, 1099, 1193, 1214, 1458, 1565, 1564, 1600, 4118, 4729, 4886, 5026, 5152, 5265, 5116, 1189, 1075, 978, 844, 623, 575, 400, 289, 212, 100]"
ZumpfLevel,"[1417.3349625  1442.81825559 1479.73735745 1499.7455956  1504.13728013
 1508.15062171 1510.81130272 1513.51010936 1516.27824965 1519.14280349
 1522.09883595 1525.1279478  1528.19172565 1531.22160337 1534.1304081
 1536.8102783  1539.19291227 1541.37933294 1543.63751128 1546.21824252
 1549.19742545 1552.45682257 1555.76956336 1558.92507954 1561.81982185
 1564.46754325 1566.95083962 1569.41258539 1572.01334717 1574.79705332
 1577.68945248 1580.66377975 1583.77114515 1590.61905036 1596.83459271
 1598.4659355  1599.69315465 1600.81494875 1602.0939831  1604.00349547
 1614.00461852]",kmeans,"[4, 3, 321, 591, 932, 963, 976, 1000, 1037, 1069, 1096, 1108, 1096, 1052, 969, 862, 790, 818, 933, 1079, 1181, 1198, 1141, 1048, 958, 898, 892, 945, 1007, 1049, 1076, 1130, 1152, 1347, 3377, 4778, 5244, 5151, 3632, 1436]"
PressureHC,"[0.36701315 0.39577445 0.40636948 0.41366065 0.41623156 0.41861783
 0.42109511 0.42383019 0.42663812 0.42941414 0.43210946 0.43471228
 0.43729939 0.43982411 0.4423229  0.44496334 0.44775211 0.45052491
 0.4533027  0.45616416 0.45874974 0.46113171 0.4634768  0.4658973
 0.46836587 0.47085758 0.47339254 0.47584017 0.47827465 0.48152422
 0.48477907 0.48783784 0.49172925 0.49658913 0.50262238 0.50898962
 0.51552805 0.52165034 0.52638477 0.53462799 0.54506767]",kmeans,"[331, 378, 945, 1130, 1093, 1192, 1194, 1235, 1216, 1194, 1204, 1243, 1335, 1373, 1287, 1353, 1864, 1533, 1864, 1755, 2365, 2180, 2797, 2003, 3165, 1919, 2370, 1783, 2271, 1637, 1153, 1658, 1560, 1162, 419, 453, 644, 499, 347, 235]"
DensityHC,"[1529.50259695 1586.69116827 1633.62261501 1644.68198248 1649.17910927
 1652.7438311  1656.47154895 1660.43578181 1664.43745102 1668.16580861
 1671.65134642 1675.08411019 1678.40300281 1681.51982527 1684.5159264
 1687.44395831 1690.27867204 1693.05558356 1695.69881616 1698.44599674
 1701.4931065  1704.70097407 1707.97276375 1711.22460351 1714.34871845
 1717.43499782 1720.53887083 1723.70927402 1726.99654746 1730.36343404
 1733.80290876 1737.41269693 1741.27293681 1745.35542174 1749.37014318
 1755.69577304 1764.06495143 1771.80155861 1780.14020336 1789.03863469
 1799.12764758]",kmeans,"[10, 18, 400, 1166, 1258, 1490, 1515, 1457, 1571, 1665, 1712, 2176, 1691, 1747, 1972, 2094, 2339, 2203, 2444, 2139, 1883, 1819, 1784, 1900, 1750, 1705, 1551, 1503, 1433, 1313, 1372, 1300, 1372, 1300, 1066, 246, 557, 206, 116, 96]"
FE,"[-9.99900000e+03 -9.66558542e+03 -8.99875625e+03 -8.33192708e+03
 -7.66509792e+03 -6.99826875e+03 -6.33143958e+03 -5.66461042e+03
 -4.99778125e+03 -4.33095240e+03 -3.66412442e+03 -2.99729698e+03
 -2.33046955e+03 -1.66364212e+03 -9.96814683e+02 -3.30155875e+02
  3.13162886e+00  3.20654850e+00  3.26229370e+00  3.30557175e+00
  3.34470402e+00  3.38295614e+00  3.42662987e+00  3.47334220e+00
  3.51491341e+00  3.55457280e+00  3.59897166e+00  3.64886762e+00
  3.69926991e+00  3.74382519e+00  3.78119333e+00  3.81772783e+00
  3.86017782e+00  3.90984331e+00  3.95986096e+00  4.00617535e+00
  4.07868909e+00  4.16499784e+00  4.24100813e+00  4.32934346e+00
  4.46080000e+00]",kmeans,"[8, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 624, 720, 1001, 1303, 1282, 1801, 3306, 3333, 3117, 3543, 4037, 3956, 3345, 4491, 2162, 2127, 2082, 2492, 2621, 2539, 2394, 825, 627, 742, 805]"
PulpHC,"[311.31835629 332.04478099 344.24885908 355.22695948 362.97253345
 368.3371158  374.23867104 380.47313496 386.69408929 392.48665748
 397.84492063 403.11903018 408.59615893 414.46277896 420.70220867
 427.15812428 433.62760413 439.91760103 445.89399049 451.54736596
 457.14329532 462.84809617 468.64001153 474.23463772 479.33996749
 488.62946419 501.99542429 511.81461249 517.72180573 522.55741832
 527.04626578 531.53797036 536.55763882 542.0183647  547.67279038
 553.59765251 558.84885904 563.81204179 569.31850251 576.53438616
 587.70604691]",kmeans,"[206, 244, 183, 1131, 1271, 1399, 1477, 1479, 1430, 1353, 1299, 1352, 1453, 1550, 1643, 1582, 1529, 1467, 1470, 1409, 1391, 1433, 1440, 1547, 1180, 340, 1228, 1647, 2402, 2730, 3233, 2196, 1476, 1124, 1134, 1677, 1778, 1318, 872, 266]"
PumpRPM,"[631.18999148 639.22384019 644.32303643 647.76269117 650.88668618
 653.9901419  657.12196484 660.34879772 662.78019517 664.17122072
 665.05252496 666.00305978 667.0196194  668.07855945 669.12800377
 670.15491841 671.16182758 672.17719933 673.2109931  674.25281249
 675.32342106 676.3985439  677.8939601  680.02770963 682.42708196
 684.63389662 686.44994774 688.173295   689.96137345 691.82756662
 693.76805368 695.95703327 698.52240504 701.25932334 703.80240474
 706.0317976  708.54051962 711.44033103 714.00163816 717.03650268
 722.18111442]",kmeans,"[85, 143, 293, 140, 190, 256, 222, 461, 1935, 2223, 2407, 2701, 2868, 3388, 3170, 3216, 3231, 3457, 3276, 3322, 2962, 2655, 1213, 818, 993, 785, 930, 855, 784, 745, 489, 709, 555, 806, 749, 569, 504, 578, 438, 218]"
