regime,n_samples,corr_Ore,corr_WaterMill,corr_WaterZumpf,corr_MotorAmp,corr_DensityHC
0,150,-0.31829725691447974,0.4474494574151398,-0.6172018431222878,0.27972847884537677,0.03238963304578355
1,120,0.03422531836063367,0.15330483682460386,-0.3219543556678097,-0.3520550685186003,0.7066499937391393
2,120,0.504371574006789,0.5211309658334715,-0.13051831656179877,-0.026543303366103922,0.24010979584853379
3,230,0.5171872507211548,0.3612905519418055,-0.2768288864203314,-0.2855268170967894,0.763173370662064
4,190,-0.007372425649666834,-0.2628114345489843,0.2557895441151986,-0.10511921107295812,0.7027547704770288
5,170,0.24006300102851108,0.50122432145893,-0.1781744687539832,-0.4428288119192878,0.3596971066905373
6,210,0.2965581736447813,0.05093831838767135,-0.35916413387328244,-0.17773823344209214,0.5693658867272469
7,180,0.37165348430946155,0.16512719940544926,-0.49873543209187887,-0.04319559996331549,0.5686933988251719
8,120,1.000000000000024,-1.0000000000000198,1.0000000000000302,-1.0000000000000409,-1.0000000000000233
9,120,1.0000000000000218,-1.0000000000000169,1.0000000000000262,-1.0000000000000375,-1.0000000000000198
10,120,0.13423509439421702,0.21492965374389178,-0.422982756041023,-0.5623590046162907,0.4956253159696456
11,120,0.13489828731781422,-0.220230182758695,-0.24092242100391562,-0.537225081002204,0.4599716059870646
12,200,-0.20508958995449625,-0.2156765398350856,-0.35234393409222853,-0.5059861582615998,0.5528096439412519
13,120,0.2687317885452382,0.43421180923184094,-0.09419091836480305,-0.7192040660772383,0.6916892233647606
14,150,0.884872902996083,0.7564888136675643,0.23025137220269146,-0.7011811063358212,0.8419495839593656
15,130,-0.02812275066237619,0.2559282113671554,-0.5780848919553699,-0.5080306040941452,0.8733932945577194
16,140,0.0856705648604474,-0.421586110562136,-0.45286794237301226,0.1313700658682597,0.45302832421845907
17,140,-0.08506169143906792,-0.41682452941318887,-0.34206199797702935,-0.1137847678937577,0.07630462024446716
18,220,0.5917184885122028,0.11953311184225122,-0.09521520142323373,-0.30745781977075154,0.2904708572598733
19,120,0.4383692270259528,0.13953544287709774,0.09698089157242934,-0.36905547063943905,0.22960085202007693
20,140,0.25728234917220505,-0.08200801404201873,0.1262969000181016,-0.39773163927742367,0.5559174403840245
21,120,0.6181903232719052,0.1913757047940259,0.5238319055494076,-0.6109368186556571,0.6280163629315441
22,160,0.3572148963740474,0.23346292645181657,0.21910087236941123,-0.7508112586680794,0.7376495315207003
23,180,0.09020542148290717,0.07117747833507229,-0.2804939376241032,0.046375199348612214,0.5883940894025134
24,120,-0.9374939080934207,0.8045568075269193,-0.9339704876790376,-0.6095176063738735,0.9028832856614454
25,120,1.0000000000031601,-0.9999999999992598,0.9999999999999678,1.0000000000018214,0.999999999999915
26,120,1.0000000000030884,-0.9999999999992233,0.9999999999999784,1.0000000000018199,0.9999999999999307
27,120,1.0000000000030083,-0.9999999999992644,0.9999999999999802,1.0000000000018068,0.9999999999999324
28,120,1.000000000003114,-0.999999999999193,0.9999999999999617,1.0000000000018883,0.999999999999914
29,120,1.0000000000032763,-0.9999999999992479,0.9999999999999737,1.0000000000017857,0.9999999999999247
30,120,1.0000000000029527,-0.9999999999992384,0.9999999999999678,1.0000000000017697,0.9999999999999185
31,120,1.0000000000031082,-0.9999999999992402,0.9999999999999755,1.0000000000017732,0.9999999999999261
32,120,1.0000000000030052,-0.9999999999992278,0.9999999999999688,1.000000000001854,0.9999999999999191
33,120,1.000000000002938,-0.9999999999992353,0.9999999999999806,1.00000000000186,0.9999999999999333
34,120,1.0000000000030707,-0.9999999999992758,0.9999999999999781,1.0000000000018445,0.9999999999999305
35,120,1.0000000000029885,-0.9999999999993031,0.9999999999999645,1.0000000000017242,0.9999999999999154
36,120,1.0000000000031193,-0.9999999999992633,0.9999999999999758,1.0000000000018396,0.9999999999999261
37,120,1.0000000000030487,-0.9999999999992653,0.9999999999999835,1.0000000000018385,0.999999999999934
38,120,1.0000000000029547,-0.9999999999992555,0.9999999999999771,1.0000000000018352,0.9999999999999272
39,120,1.0000000000028808,-0.999999999999295,0.9999999999999782,1.0000000000017202,0.9999999999999307
40,120,1.00000000000324,-0.9999999999992474,0.9999999999999789,1.000000000001814,0.9999999999999306
41,120,1.0000000000031442,-0.999999999999185,0.9999999999999696,1.0000000000019051,0.9999999999999221
42,120,1.0000000000030833,-0.9999999999992842,0.999999999999982,1.0000000000018014,0.9999999999999335
43,120,1.0000000000029787,-0.9999999999992732,0.999999999999974,1.0000000000019038,0.999999999999924
44,120,1.0000000000031186,-0.9999999999992223,0.9999999999999744,1.000000000001893,0.9999999999999245
45,120,1.000000000003045,-0.999999999999265,0.9999999999999775,1.000000000001791,0.9999999999999273
46,120,1.0000000000029536,-0.9999999999992627,0.9999999999999766,1.000000000001777,0.9999999999999298
47,120,1.0000000000030909,-0.9999999999992557,0.9999999999999784,1.0000000000017633,0.9999999999999277
48,120,1.0000000000030032,-0.9999999999992024,0.9999999999999728,1.0000000000017426,0.9999999999999242
49,120,1.0000000000029283,-0.9999999999992539,0.9999999999999837,1.0000000000018505,0.9999999999999364
50,120,1.0000000000032803,-0.9999999999992369,0.999999999999974,1.00000000000174,0.9999999999999243
51,120,1.000000000003201,-0.9999999999992852,0.9999999999999771,1.0000000000018296,0.9999999999999294
52,120,1.000000000003128,-0.9999999999992787,0.9999999999999781,1.0000000000017233,0.999999999999928
53,120,1.0000000000030353,-0.9999999999992281,0.9999999999999775,1.0000000000018072,0.9999999999999291
54,120,1.000000000002942,-0.9999999999992626,0.9999999999999716,1.000000000001789,0.9999999999999232
55,120,1.0000000000028684,-0.9999999999992593,0.999999999999973,1.000000000001783,0.9999999999999241
56,120,1.0000000000032225,-0.9999999999992545,0.999999999999972,1.0000000000018825,0.9999999999999227
57,120,1.000000000003139,-0.9999999999993006,0.9999999999999755,1.0000000000017775,0.9999999999999252
58,120,1.0000000000030627,-0.9999999999992487,0.9999999999999769,1.0000000000017788,0.9999999999999266
59,120,1.0000000000029607,-0.9999999999991959,0.9999999999999761,1.0000000000017661,0.9999999999999251
60,120,1.0000000000028892,-0.9999999999992402,0.9999999999999772,1.0000000000017544,0.9999999999999267
61,120,1.000000000003252,-0.9999999999992406,0.9999999999999809,1.0000000000017568,0.9999999999999298
62,120,1.000000000003166,-0.9999999999992298,0.9999999999999789,1.0000000000018505,0.9999999999999298
63,120,1.0000000000030846,-0.9999999999991839,0.9999999999999815,1.000000000001848,0.9999999999999355
64,120,1.0000000000029985,-0.9999999999992177,0.9999999999999765,1.000000000001845,0.9999999999999291
65,120,1.000000000002911,-0.9999999999992674,0.9999999999999849,1.0000000000018454,0.9999999999999339
66,120,1.0000000000032747,-0.9999999999992137,0.9999999999999779,1.0000000000018292,0.9999999999999295
67,120,1.0000000000029698,-0.9999999999992569,0.9999999999999796,1.0000000000018225,0.9999999999999312
68,130,1.0000000000026155,-0.999999999999308,0.9999999999999822,1.0000000000016762,0.9999999999999356
69,130,1.0000000000028433,-0.9999999999993109,0.9999999999999756,1.0000000000016689,0.9999999999999314
70,130,1.0000000000027074,-0.9999999999992865,0.9999999999999768,1.0000000000016693,0.9999999999999326
71,130,1.0000000000027554,-0.9999999999993032,0.9999999999999798,1.000000000001673,0.9999999999999346
72,120,0.19278279355678263,0.33234390137662395,-0.40459992259991717,-0.0986765727542697,0.30709738971320477
73,120,-0.008435609882640376,0.0642671537267296,-0.3839423946645974,-0.25158850472709476,0.1642498301467202
74,120,0.8106867042080421,0.7944056064234085,-0.03399101956028273,-0.3828642680146875,0.856599459353049
75,120,0.030129963919243077,0.048829132507812296,-0.31080794341803525,-0.5237945149971418,0.6314710368517144
76,120,0.6829720287453681,0.5673290754779976,-0.14059287490981096,-0.3288238147372519,0.36972902567941096
77,150,0.18745740173933195,0.123326818299208,-0.3683050006557068,0.124078148544733,0.07651561930401518
78,120,0.016808097120592284,0.1383179512444592,-0.09360306403419844,-0.7260969466881102,0.8551970891232036
79,120,-0.009462116983735887,-0.012156331971238688,-0.2019205260692155,-0.7219202719023551,0.8615543234910767
80,160,0.15223775681850785,0.17421320674304888,-0.128459393065376,0.03297831572477324,0.4027111568156621
81,120,-0.5668743900360046,-0.5669958180012705,-0.8400129658690475,0.6083017729253413,0.5900154683374847
82,140,0.6454350995401467,0.6355368884719678,-0.5810276584500054,-0.07930304017395023,0.6143876647871376
83,189,-0.22489549385369814,-0.3659473330956693,-0.0756104411510975,-0.45027558512595744,0.4636787170587277
